//,This is the master copy of the downlink structures.  A program called FoxStruct.py will turn this into a structure for the flight software.,,,,,,,,,,,,,,,
//,A different Python script can also be used to make tables for FoxTelem. My intent is that this spreadsheet can also be included,,,,,,,,,,,,,,,
//,into a formal document defining the downlink more completely.,,,,,,,,,,,,,,,
//,The format must be as follows: 1) A comment (// in column A) can appear anywhere.  2) A structure must start with a column A that has,,,,,,,,,,,,,,,
//,"""Structure:name,file:filename"".  The structure must end with ""END"". For flight software, the yellow highlighted columns are used.",,,,,,,,,,,,,,,
Version: 6.7,,12/08/20,,,,,,,,,,,,,,
"Structure: header_t, file:headerDownlink.h",,,,,,,,,,,,,,,,
//,Field Name,Code Name,Size (Bits),Type,C Type,Conversion,Label,Description,Bit Offset,Byte Offset,Short Offset,Long offset,Module,Module_num,Module_Line,Line_Type
,FoxID,satelliteID,8,Unsigned,,0,-,LS3Bits = 6 for this format.  ,0,0,0,0,NONE,0,0,0
,type,type,8,Unsigned,,0,-,This identifies the payload type,8,1,0.5,0.25,NONE,0,0,0
,resetCnt,resetCnt,16,Unsigned,,1,Resets,Total number of times IHU has reset since initial on-orbit startup,16,2,1,0.5,NONE,0,0,0
,uptime,uptime,32,Unsigned,,1,Sec,This is the IHU uptime in seconds since the last reset,32,4,2,1,NONE,0,0,0
,Downlink Spec Version,protocolVersion,8,Unsigned,,0,-,LS4Bits = minor & MS3bits=major,64,8,4,2,NONE,0,0,0
,Software Major Version,versionMajor,8,Unsigned,,0,-,None,72,9,4.5,2.25,NONE,0,0,0
,Sofwtare Minor Version,versionMinor,8,Unsigned,,0,-,None,80,10,5,2.5,NONE,0,0,0
ifdef RTIHU,,,,,,,,,,,,,,,,
,Pad1,pad17,5,Unsigned,,,,Pad,88,11,5.5,2.75,NONE,0,0,0
,Science Mode,inScienceMode,1,,,,,,93,11.625,5.8125,2.90625,NONE,0,0,0
,Health Mode,inHealthMode,1,Unsigned,,,,Are we in health mode?,94,11.75,5.875,2.9375,NONE,0,0,0
,Safe Mode,inSafeMode,1,Unsigned,,0,-,Are we in safe mode?,95,11.875,5.9375,2.96875,NONE,0,0,0
endif,,,,,,,,,,,,,,,,
ifdef LEGACY_IHU,,,,,,,,,,,,,,,,
,Safe Mode,inSafeMode,1,Unsigned,,0,-,Are we in safe mode?,88,11,5.5,2.75,NONE,0,0,0
,Health Mode,inHealthMode,1,Unsigned,,0,-,Are we in health mode?,89,11.125,5.5625,2.78125,NONE,0,0,0
,Science Mode,inScienceMode,1,Unsigned,,0,-,Are we in science mode?,90,11.25,5.625,2.8125,NONE,0,0,0
,Pad10,pad26,5,Unsigned,,0,-,Pad,91,11.375,5.6875,2.84375,NONE,0,0,0
endif,,,,,,,,,,,,,,,,
END,,,,,,,,Total length,96,12,6,3,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,
"Structure: commonRtMinmaxWodPayload_t,file:commonDownlink.h",,,,,,,,,,,,,,,,
//,Field Name,Code Name,Size (Bits),Type,C Type,Conversion,Label,Description,Bit Offset,Byte Offset,Short Offset,Long offset,Module,Module_num,Module_Line,Line_Type
,Ref Power,ReflectedPwr,8,Unsigned,,icr_8bit_volts|txv2_ref_pwr,mW,Reflected Power from the Transmit Antenna,0,0,0,0,Legacy Radio,1,4,3
,3V Prot,ICR3VProt,8,Unsigned,,icr_8bit_volts,V,ICR 3V Protected,8,1,0.5,0.25,Command Receivers,4,3,3
,ICR Temp,ICRTemp,8,Unsigned,,8_bit_temp,C,ICR Temperature,16,2,1,0.5,Command Receivers,4,4,3
,Gyro Temp,gTemp,8,Unsigned,,8_bit_temp,C,Gyro temperature,24,3,1.5,0.75,Experiments,5,10,3
,X Rotation,Xspin,8,Unsigned,,8_bit_spin,dps,Angular Velocity around X Axis,32,4,2,1,Experiments,5,1,3
,Y Rotation,Yspin,8,Unsigned,,8_bit_spin,dps,Angular Veolcity around Y Axis,40,5,2.5,1.25,Experiments,5,2,3
,Z Rotation,Zspin,8,Unsigned,,8_bit_spin,dps,Angular Veolcity around Z Axis,48,6,3,1.5,Experiments,5,3,3
,X Acceleration,Xaccel,8,Unsigned,,8_bit_accel,g,Acceleration along X axis,56,7,3.5,1.75,Experiments,5,4,3
,Y Acceleration,Yaccel,8,Unsigned,,8_bit_accel,g,Acceleration along Y  axis,64,8,4,2,Experiments,5,5,3
,Z Acceleration,Zaccel,8,Unsigned,,8_bit_accel,g,Acceleration along Z axis,72,9,4.5,2.25,Experiments,5,6,3
,X Magnetometer,Xmag,8,Unsigned,,8_bit_mag,uT,Angular Veolcity around X Axis,80,10,5,2.5,Experiments,5,7,3
