58,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,RT,PHOTO_VOLTAGE_1,16,V,0,EPS,1,1,3,Photo Voltage 1,tbd
1,RT,PHOTO_VOLTAGE_2,16,V,0,EPS,1,2,3,Photo Voltage 2,tbd
2,RT,PHOTO_VOLTAGE_3,16,V,0,EPS,1,3,3,Photo Voltage 3,tbd
3,RT,TOTAL_PHOTO_CURRENT,16,mA,0,EPS,1,4,3,Total Photo Current,tbd
4,RT,BATTERY_VOLTAGE,16,V,0,EPS,1,5,3,Battery Voltage,tbd
5,RT,TOTAL_SYSTEM_CURRENT,16,mA,0,EPS,1,6,3,Total System Current,tbd
6,RT,REBOOT_COUNT,16,-,0,EPS,1,7,3,Reboot Count,tbd
7,RT,EPS_SOFTWARE_ERRORS,16,-,0,EPS,1,8,3,EPS Software Errors,tbd
8,RT,BOOST_CONVERTER_TEMP1,8,C,0,EPS,1,9,3,Boost Converter Temp 1,tbd
9,RT,BOOST_CONVERTER_TEMP2,8,C,0,EPS,1,10,3,Boost Converter Temp 2,tbd
10,RT,BOOST_CONVERTER_TEMP3,8,C,0,EPS,1,11,3,Boost Converter Temp 3,tbd
11,RT,BATTERY_TEMP,8,C,0,EPS,1,12,3,Battery Temp,tbd
12,RT,LATCH_UP_COUNT_5V1,8,-,0,EPS,1,13,3,Latch Up Count 5V1,tbd
13,RT,LATCH_UP_COUNT_3.3V1,8,-,0,EPS,1,14,3,Latch Up Count 3.3V1,tbd
14,RT,RESET_CAUSE,8,-,0,EPS,1,15,3,Reset Cause,tbd
15,RT,POWER_POINT_TRACKING_MODE,8,-,0,EPS,1,16,3,Power Point Tracking Mode,tbd
16,RT,SUN_SENSOR_X_PLUS,10,-,0,BOB,2,1,3,X+ Sun Sensor,tbd
17,RT,SUN_SENSOR_Y_PLUS,10,-,0,BOB,2,2,3,Y+ Sun Sensor,tbd
18,RT,SUN_SENSOR_Z_PLUS,10,-,0,BOB,2,3,3,Z+ Sun Sensor,tbd
19,RT,SOLAR_PANEL_TEMP_X_PLUS,10,C,0,BOB,2,4,3,X+ Panel Temp,tbd
20,RT,SOLAR_PANEL_TEMP_X_MINUS,10,C,0,BOB,2,5,3,X- Panel Temp,tbd
21,RT,SOLAR_PANEL_TEMP_Y_PLUS,10,C,0,BOB,2,6,3,Y+ Panel Temp,tbd
22,RT,SOLAR_PANEL_TEMP_Y_MINUS,10,C,0,BOB,2,7,3,Y- Panel Temp,tbd
23,RT,BUS_VOLTAGE_3.3,10,V,0,BOB,2,8,3,3.3V Bus Voltage,tbd
24,RT,BUS_CURRENT_3.3,10,mA,0,BOB,2,9,3,3.3V Bus Current,tbd
25,RT,BUS_VOLTAGE_5.0,10,V,0,BOB,2,10,3,5V Bus Voltage,tbd
26,RT,RECEIVER_DOPPLER,8,Hz,0,RF,3,1,3,Doppler,tbd
27,RT,RECEIVER_RSSI,8,dBm,0,RF,3,2,3,RSSI,tbd
28,RT,RF_TEMPERATURE,8,C,0,RF,3,3,3,Temperature,tbd
29,RT,RECEIVER_CURRENT,8,mA,0,RF,3,4,3,RX Current,tbd
30,RT,TRANSMIT_CURRENT_3.3V_BUS,8,mA,0,RF,3,5,3,TX Current (3.3V Bus),tbd
31,RT,TRANSMIT_CURRENT_5.0V_BUS,8,mA,0,RF,3,6,3,TX Current (5V Bus),tbd
32,RT,REVERSE_POWER,8,dBm,0,PA,10,1,3,Reverse Power,tbd
33,RT,FORWARD_POWER,8,dBm,0,PA,10,2,3,Forward Power,tbd
34,RT,PA_BOARD_TEMPERATURE,8,C,0,PA,10,3,3,Temperature,tbd
35,RT,PA_BOARD_CURRENT,8,mA,0,PA,10,4,3,Current,tbd
36,RT,ANTENNA_TEMP0,8,C,0,ANTS,11,1,3,Temperature 0,tbd
37,RT,ANTENNA_TEMP1,8,C,0,ANTS,11,2,3,Temperature 1,tbd
38,RT,ANTENNA_DEPLOYMENT0,1,-,0,ANTS,11,3,0,Deployment 0,tbd
39,RT,ANTENNA_DEPLOYMENT1,1,-,0,ANTS,11,4,0,Deployment 1,tbd
40,RT,ANTENNA_DEPLOYMENT2,1,-,0,ANTS,11,5,0,Deployment 2,tbd
41,RT,ANTENNA_DEPLOYMENT3,1,-,0,ANTS,11,6,0,Deployment 3,tbd
42,RT,SEQUENCE_NUMBER,24,-,0,SW,12,1,0,Sequence No,tbd
43,RT,DTMF_COMMAND_COUNT,6,-,0,SW,12,1,0,DTMF Command Count,tbd
44,RT,DTMF_LAST_COMMAND,5,-,0,SW,12,2,0,DTMF Last Command,tbd
45,RT,DTMF_COMMAND_SUCCESS,1,-,0,SW,12,3,0,DTMF Command Success,tbd
46,RT,DATA_VALID_ASIB,1,-,0,SW,12,4,0,DATA Valid Asib,tbd
47,RT,DATA_VALID_EPS,1,-,0,SW,12,5,0,DATA Valid Eps,tbd
48,RT,DATA_VALID_PA,1,-,0,SW,12,6,0,DATA Valid Pa,tbd
49,RT,DATA_VALID_RF,1,-,0,SW,12,7,0,DATA Valid Rf,tbd
50,RT,DATA_VALID_MES,1,-,0,SW,12,8,0,DATA Valid Mes,tbd
51,RT,DATA_VALID_ANTS_BUS_B,1,-,0,SW,12,9,0,DATA Valid Ants Bus B,tbd
52,RT,DATA_VALID_ANTS_BUS_A,1,-,0,SW,12,10,0,DATA Valid Ants Bus A,tbd
53,RT,IN_ECLIPSE_MODE,1,-,0,SW,12,11,0,IN Eclipse Mode,tbd
54,RT,IN_SAFE_MODE,1,-,0,SW,12,12,0,IN Safe Mode,tbd
55,RT,HARDWARE_ABF_ON_OFF,1,-,0,SW,12,13,0,HARDWARE Abf On Off,tbd
56,RT,SOFTWARE_ABF_ON_OFF,1,-,0,SW,12,14,0,SOFTWARE Abf On Off,tbd
57,RT,DEPLOYMENT_WAIT_AT_NEXT_BOOT,1,-,0,SW,12,15,0,DEPLOYMENT Wait At Next Boot,tbd
