26,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,EXP,temperature,16,C,lps25hb_temp | FLOAT1,Sensors,1,1,0,Temperature,Temperature of the cabin
1,EXP,pressure,32,mBar,lps25hb_pressure | FLOAT1,Sensors,1,2,0,Pressure,Cabin pressure
2,EXP,humidity,16,g/kg,0,Sensors,1,3,0,Humidity,Cabin humidity
3,EXP,gas_sensor1,16,ppm,0,Sensors,1,4,0,MQ-2,Gas Sensor MQ-2
4,EXP,gas_sensor2,16,ppm,0,Sensors,1,5,0,MQ-6,Gas Sensor MQ-6
5,EXP,gas_sensor3,16,ppm,0,Sensors,1,6,0,MQ-135,Gas Sensor MQ-135
6,EXP,gyro0,12,-,0,Gyroscope,2,1,0,Axis 0,Gyro Axis 0
7,EXP,gyro1,12,-,0,Gyroscope,2,2,0,Axis 1,Gyro Axis 1
8,EXP,gyro2,12,-,0,Gyroscope,2,3,0,Axis 2,Gyro Axis 2
9,EXP,gyro3,12,-,0,Gyroscope,2,4,0,Axis 3,Gyro Axis 3
19,EXP,gyro4,12,-,0,Gyroscope,2,5,0,Axis 4,Gyro Axis 4
11,EXP,gyro5,12,-,0,Gyroscope,2,6,0,Axis 5,Gyro Axis 5
12,EXP,gyro6,12,-,0,Gyroscope,2,7,0,Axis 6,Gyro Axis 6
13,EXP,gyro7,12,-,0,Gyroscope,2,8,0,Axis 7,Gyro Axis 7
14,EXP,gyro8,12,-,0,Gyroscope,2,9,0,Axis 8,Gyro Axis 8
15,EXP,photoresistor,16,-,0,Sensors,1,7,0,Light level,Photoresistor light level
16,EXP,realtimeclock,32,-,0,Sensors,1,8,0,Time,Real time clock module
17,EXP,mvps_voltage,16,-,0,MVPS,3,1,0,Voltage,Voltage of the MVPS
18,EXP,mvps_current,16,-,0,MVPS,3,2,0,Current,Current of the MVPS
19,EXP,radiation,16,-,0,Sensors,1,8,0,Radiation Count,Count from the radiation detector
20,EXP,cosmic_rays,16,-,0,Sensors,1,9,0,Cosmic Rays,Count from the cosmic ray detector
20,EXP,pad1,12,-,0,None,0,0,0,None,None
20,EXP,pad2,16,-,0,None,0,0,0,None,None
20,EXP,pad3,32,-,0,None,0,0,0,None,None
20,EXP,pad4,32,-,0,None,0,0,0,None,None
20,EXP,pad5,32,-,0,None,0,0,0,None,None
