19,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,RT,pi_temperature,16,C,x_over_10| FLOAT1,Computer,1,1,0,Temperature,Temperature of the CPU
1,RT,xruns,16,-,INT,Computer,1,2,0,Xruns,Number of times the audio underran or overran this period
2,RT,loop_time,8,ms,x_over_10| FLOAT1,Computer,1,3,0,Audio Loop,None
3,RT,cpu_speed,8,MHz,x_over_10| FLOAT1,Computer,1,4,0,Proc Speed,None
4,RT,data2,8,-,0,Data,2,1,0,Data 2,None
5,RT,data3,8,-,0,Data,2,2,0,Data 3,None
6,RT,pad1,32,-,0,NONE,0,0,0,None,None
7,RT,pad2,32,-,0,NONE,0,0,0,None,None
8,RT,pad3,32,-,0,NONE,0,0,0,None,None
9,RT,pad4,32,-,0,NONE,0,0,0,None,None
10,RT,pad5,32,-,0,NONE,0,0,0,None,None
11,RT,pad6,32,-,0,NONE,0,0,0,None,None
12,RT,pad7,32,-,0,NONE,0,0,0,None,None
13,RT,pad8,32,-,0,NONE,0,0,0,None,None
14,RT,pad9,32,-,0,NONE,0,0,0,None,None
15,RT,pad10,32,-,0,NONE,0,0,0,None,None
16,RT,pad11,32,-,0,NONE,0,0,0,None,None
17,RT,pad12,32,-,0,NONE,0,0,0,None,None
18,RT,pad13,8,-,INT,NONE,0,0,0,None,None
