15,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,RAD,VUC_STATE,4,NONE,27,VU Controller,1,1,5,Status,Status of the Vanderbilt University Controller
1,RAD,VUC_RESTARTS,8,NONE,1,VU Controller,1,2,5,Restarts,Number of restarts by the Vanderbilt University Controller
2,RAD,VUC_UPTIME,20,s,25,VU Controller,1,3,5,Uptime,Uptime of the Vanderbilt University Controller
3,RAD,State1,4,NONE,27,Vulcan Experiment 1,3,1,5,State,Vulcan Experiment 1 State
4,RAD,State2,4,NONE,27,Vulcan Experiment 2,4,1,5,State,Vulcan Experiment 2 State
5,RAD,State3,4,NONE,27,Vulcan Experiment 3,5,1,5,State,Vulcan Experiment 3 State
6,RAD,State4,4,NONE,27,Vulcan Experiment 4,6,1,5,State,Vulcan Experiment 4 State
7,RAD,Power1,8,mW,0,Vulcan Experiment 1,3,2,5,Power,Vulcan Experiment 1 Power
8,RAD,Power2,8,mW,0,Vulcan Experiment 2,4,2,5,Power,Vulcan Experiment 2 Power
9,RAD,Power3,8,mW,0,Vulcan Experiment 3,5,2,5,Power,Vulcan Experiment 3 Power
10,RAD,Power4,8,mW,0,Vulcan Experiment 4,6,2,5,Power,Vulcan Experiment 4 Power
11,RAD,LEP_RESTARTS,8,NONE,1,Low Energy Proton Experiment,2,1,5,LEP Restarts,Number of restarts by the Low Energy Proton Experiment
12,RAD,LEP_UPTIME,24,NONE,25,Low Energy Proton Experiment,2,2,5,LEP Uptime (16-sec),Uptime of the Low Energy Proton Experiment
13,RAD,MEMORY_LIVETIME,32,NONE,1,Low Energy Proton Experiment,2,3,5,Memory Livetime (Mb-sec),Cumulative live time for running experiments
14,RAD,MEMORY_ERRORS,16,NONE,1,Low Energy Proton Experiment,2,4,5,Memory Errors,Cumulative number of memory upsets
