11,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,HERCI_HS,SYNC1,8,NONE,0,Header,1,1,5,Sync1,Sync Byte = FA
1,HERCI_HS,SYNC2,8,NONE,0,Header,1,2,5,Sync2,Sync Byte = F3
2,HERCI_HS,SYNC3,8,NONE,0,Header,1,3,5,Sync3,Sync Byte = 34
3,HERCI_HS,SYNC4,8,NONE,0,Header,1,4,5,Sync4,Sync Byte = 03
4,HERCI_HS,CRC_CCITT-16_SEED,16,NONE,0,Header,1,5,5,CRC Seed,CRC CCITT-16 Seed = 0
5,HERCI_HS,SEQUENCE_SOURCE,2,NONE,0,Header,1,6,5,Seq Monotonic,Sequence Monotonic
6,HERCI_HS,SEQUENCE_MONOTONIC,14,NONE,0,Header,1,6,5,Seq Monotonic,Sequence Monotonic
7,HERCI_HS,SYSTEM_TIME,31,NONE,0,Header,1,7,5,System Time,HERCI System Time from Epoch
8,HERCI_HS,SYSTEM_TIME_SUSPECT,1,NONE,0,Header,1,7,5,System Time Suspect,HERCI System Time suspect because no recent update if this is true
9,HERCI_HS,EPOCH_NUMBER,16,NONE,0,Header,1,8,5,Epoch,"HERCI Epoch number, should be equal to Fox Resets"
10,HERCI_HS,RECORD_LENGTH,16,NONE,0,Header,1,9,5,Record Length,Number of octets in the transfer frame from Sync bytes to the end including filler
