48,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,MAX,BATT_A_V,12,V,2,NONE,0,0,0,NONE,Battery pair A voltage (0-2.5V scale)
1,MAX,BATT_B_V,12,V,34,NONE,0,0,0,NONE,Battery pairs A+B voltage (0-3.3V scale)
2,MAX,BATT_C_V,12,V,4,NONE,0,0,0,NONE,Battery pairs A+B+C voltage (0-5.0V scale)
3,MAX,battAtemp,12,C,8,NONE,0,0,0,NONE,Battery pair A temperature
4,MAX,battBtemp,12,C,8,NONE,0,0,0,NONE,Battery pair B temperature
5,MAX,battCtemp,12,C,8,NONE,0,0,0,NONE,Battery pair C temperature
6,MAX,battCurr,12,mA,9,NONE,0,0,0,NONE,Total Battery DC current
7,MAX,battCardTemp,12,C,8,NONE,0,0,0,NONE,Battery Card Temperature
8,MAX,posXv,12,V,23,NONE,0,0,0,NONE,+X solar panel voltage
9,MAX,posYv,12,V,23,NONE,0,0,0,NONE,+Y solar panel voltage
10,MAX,posZv,12,V,23,NONE,0,0,0,NONE,+Z solar panel voltage
11,MAX,negXv,12,V,23,NONE,0,0,0,NONE,-X solar panel voltage
12,MAX,negYv,12,V,23,NONE,0,0,0,NONE,-Y solar panel voltage
13,MAX,negZv,12,V,23,NONE,0,0,0,NONE,-Z solar panel voltage
14,MAX,posXt,12,C,24,NONE,0,0,0,NONE,+X solar panel temperature
15,MAX,posYt,12,C,24,NONE,0,0,0,NONE,+Y solar panel temperature
16,MAX,posZt,12,C,24,NONE,0,0,0,NONE,+Z solar panel temperature
17,MAX,negXt,12,C,24,NONE,0,0,0,NONE,-X solar panel temperature
18,MAX,negYt,12,C,24,NONE,0,0,0,NONE,-Y solar panel temperature
19,MAX,negZt,12,C,24,NONE,0,0,0,NONE,-Z solar panel temperature
20,MAX,PSUTemp,12,C,8,NONE,0,0,0,NONE,Power Supply Card Temperature
21,MAX,spin,12,rpm,12,NONE,0,0,0,NONE,Calculated spin rate using solar cells
22,MAX,TxPAi,12,mA,10,NONE,0,0,0,NONE,Transmit power amplifier current
23,MAX,TxTemp,12,C,7,NONE,0,0,0,NONE,Transmitter card temperature
24,MAX,FwdPower,12,mW,0,NONE,0,0,0,NONE,Receiver card temperature
25,MAX,rssi,12,dBm,14,NONE,0,0,0,NONE,Received Signal Strength Indication
26,MAX,IHUcpuTemp,12,C,15,NONE,0,0,0,NONE,Internal Temperature of IHU
27,MAX,Xvelocity,12,dps,13,NONE,0,0,0,NONE,Angular Veolcity around X Axis
28,MAX,Yvelocity,12,dps,13,NONE,0,0,0,NONE,Angular Veolcity around Y Axis
29,MAX,Zvelocity,12,dps,13,NONE,0,0,0,NONE,Angular Veolcity around Z Axis
30,MAX,Exp4Temp,12,C,7,NONE,0,0,0,NONE,Experiment 4 card temperature
31,MAX,PSUCurrent,12,mA,22,NONE,0,0,0,NONE,Power Supply DC Current
32,MAX,ReflectedPwr,12,mW,0,NONE,0,0,0,NONE,Reflected Power from the Transmit Antenna
33,MAX,ICR3V,12,V,23,NONE,0,0,0,NONE,ICR 3V
34,MAX,ICR3VProt,12,V,23,NONE,0,0,0,NONE,ICR 3V Proteted
35,MAX,ICR2dot5V,12,V,23,NONE,0,0,0,NONE,ICR 2.5V
36,MAX,ICR2dot5VProt,12,V,23,NONE,0,0,0,NONE,ICR 2.5V Protected
37,MAX,rf6,12,-,0,NONE,0,0,0,NONE,None
38,MAX,rf7,12,-,0,NONE,0,0,0,NONE,None
39,MAX,MuxTest,12,V,23,NONE,0,0,0,NONE,Sensor Power Voltage at the ICR
40,MAX,LtVGACtl,12,V,23,NONE,0,0,0,NONE,Control Voltage to the Variable Gain Amplifier (VGA)
41,MAX,pad,20,-,0,NONE,0,0,0,NONE,NONE
42,MAX,IHUhardError,32,-,18,Computer,2,9,0,Hard Error,Diagnostic Data on IHU Performance
43,MAX,maxTimestampReset,16,s,1,NONE,0,0,0,Max Reset,Timestamp of last max change
44,MAX,maxTimestampUptime,25,s,1,NONE,0,0,0,Max Uptime,Timestamp of last max change
45,MAX,SafeModeActive,1,-,21,Computer,2,11,0,Safe Mode,In safe mode?
46,MAX,AutoSafeModeActive,1,-,21,Computer,2,12,0,Auto Safe Mode,In Autosafe mode?
47,MAX,AutoSafeModeAllowed,1,-,21,Computer,2,13,0,Auto Safe Allowed,Autosafe enabled?
