27,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,RAD,VUC_STATE,4,NONE,27,VU Controller,1,1,5,Status,Status of the Vanderbilt University Controller
1,RAD,VUC_RESTARTS,8,NONE,1,VU Controller,1,2,5,Restarts,Number of restarts by the Vanderbilt University Controller
2,RAD,VUC_UPTIME,20,s,25,VU Controller,1,3,5,Uptime,Uptime of the Vanderbilt University Controller
3,RAD,State1,4,NONE,27,VU Experiment 1,5,1,5,State,Vulcan Experiment 1 State
4,RAD,State2,4,NONE,27,VU Experiment 2,6,1,5,State,Vulcan Experiment 2 State
5,RAD,State3,4,NONE,27,VU Experiment 3,7,1,5,State,Vulcan Experiment 3 State
6,RAD,State4,4,NONE,27,VU Experiment 4,8,1,5,State,Vulcan Experiment 4 State
7,RAD,Power1,8,mW,0,VU Experiment 1,5,2,5,Power,Vulcan Experiment 1 Power
8,RAD,Power2,8,mW,0,VU Experiment 2,6,2,5,Power,Vulcan Experiment 2 Power
9,RAD,Power3,8,mW,0,VU Experiment 3,7,2,5,Power,Vulcan Experiment 3 Power
10,RAD,Power4,8,mW,0,VU Experiment 4,8,2,5,Power,Vulcan Experiment 4 Power
11,RAD,LEPF_RESTARTS,8,NONE,1,LEPF (Experiment 1),2,1,5,LEP Restarts,Number of restarts by the Low Energy Proton Experiment
12,RAD,LEPF_UPTIME,24,NONE,25,LEPF (Experiment 1),2,2,5,LEP Uptime (16-sec),Uptime of the Low Energy Proton Experiment
13,RAD,MEMORY_LIVETIME,32,NONE,1,LEPF (Experiment 1),2,3,5,Memory Livetime (Mb-sec),Cumulative live time for running experiments
14,RAD,LEPF_MEMORY_ERRORS,16,NONE,1,LEPF (Experiment 1),2,4,5,Memory Errors,Cumulative number of memory upsets
15,RAD,LEP_RESETS,8,NONE,1,LEP (Experiment 2),3,1,5,Resets,Number of times the REM2 Experiment has reset
16,RAD,LEP_UPTIME,24,s,25,LEP (Experiment 2),3,2,5,Uptime,Uptime of the REM2 Experiment
17,RAD,LEP_SEU_LIVETIME,32,s,1,LEP (Experiment 2),3,3,5,SEU Livetime,REM2 SEU Livetime
18,RAD,LEP_UPSETS,16,NONE,1,LEP (Experiment 2),3,4,5,Memory Errors,Cumulative number of memory upsets in REM2 Experiment
19,RAD,REM_RESETS,8,NONE,1,REM (Experiment 3),4,1,5,Resets,Number of times the REM3 Experiment has reset
20,RAD,REM_UPTIME,16,s,25,REM (Experiment 3),4,2,5,Uptime,Uptime of the REM3 Experiment
21,RAD,REM_CORE_VOLTAGE,8,mV,25,REM (Experiment 3),4,3,5,Core Voltage,REM3 Core Voltage
22,RAD,REM_SEU_LIVETIME,32,s,1,REM (Experiment 3),4,4,5,SEU Livetime,REM3 SEU Livetime
23,RAD,REM_UPSETS,16,NONE,1,REM (Experiment 3),4,5,5,Memory Errors,Cumulative number of memory upsets in REM3 Experiment
24,RAD,pad1,253,NONE,0,NONE,0,0,0,pad1,None
25,RAD,exp1BoardNum,3,NONE,0,VU Controller,1,4,0,Active Board,Which Experiment Board is Active
26,RAD,pad3,48,NONE,0,NONE,0,0,0,None,None
