648,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,ADCSLog,B0,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
1,ADCSLog,B1,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
2,ADCSLog,B2,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
3,ADCSLog,B3,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
4,ADCSLog,B4,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
5,ADCSLog,B5,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
6,ADCSLog,B6,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
7,ADCSLog,B7,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
8,ADCSLog,B8,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
9,ADCSLog,B9,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
10,ADCSLog,B10,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
11,ADCSLog,B11,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
12,ADCSLog,B12,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
13,ADCSLog,B13,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
14,ADCSLog,B14,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
15,ADCSLog,B15,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
16,ADCSLog,B16,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
17,ADCSLog,B17,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
18,ADCSLog,B18,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
19,ADCSLog,B19,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
20,ADCSLog,B20,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
21,ADCSLog,B21,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
22,ADCSLog,B22,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
23,ADCSLog,B23,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
24,ADCSLog,B24,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
25,ADCSLog,B25,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
26,ADCSLog,B26,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
27,ADCSLog,B27,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
28,ADCSLog,B28,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
29,ADCSLog,B29,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
30,ADCSLog,B30,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
31,ADCSLog,B31,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
32,ADCSLog,B32,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
33,ADCSLog,B33,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
34,ADCSLog,B34,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
35,ADCSLog,B35,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
