60,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,rad,0,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
1,rad,1,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
2,rad,2,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
3,rad,3,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
4,rad,4,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
5,rad,5,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
6,rad,6,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
7,rad,7,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
8,rad,8,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
9,rad,9,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
10,rad,10,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
11,rad,11,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
12,rad,12,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
13,rad,13,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
14,rad,14,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
15,rad,15,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
16,rad,16,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
17,rad,17,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
18,rad,18,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
19,rad,19,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
20,rad,20,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
21,rad,21,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
22,rad,22,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
23,rad,23,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
24,rad,24,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
25,rad,25,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
26,rad,26,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
27,rad,27,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
28,rad,28,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
29,rad,29,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
30,rad,30,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
31,rad,31,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
32,rad,32,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
33,rad,33,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
34,rad,34,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
35,rad,35,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
36,rad,36,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
37,rad,37,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
38,rad,38,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
39,rad,39,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
40,rad,40,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
41,rad,41,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
42,rad,42,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
43,rad,43,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
44,rad,44,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
45,rad,45,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
46,rad,46,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
47,rad,47,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
48,rad,48,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
49,rad,49,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
50,rad,50,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
51,rad,51,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
52,rad,52,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
53,rad,53,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
54,rad,54,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
55,rad,55,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
56,rad,56,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
57,rad,57,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
58,rad,exp1BoardNum,8,-,1,VUC,1,1,0,Exp1 Board Number,Experiment Board Active
59,rad,pad219,8,-,0,NONE,0,0,0,NONE,TBD
