64,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,radwod,data0,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
1,radwod,data1,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
2,radwod,data2,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
3,radwod,data3,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
4,radwod,data4,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
5,radwod,data5,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
6,radwod,data6,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
7,radwod,data7,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
8,radwod,data8,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
9,radwod,data9,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
10,radwod,data10,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
11,radwod,data11,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
12,radwod,data12,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
13,radwod,data13,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
14,radwod,data14,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
15,radwod,data15,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
16,radwod,data16,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
17,radwod,data17,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
18,radwod,data18,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
19,radwod,data19,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
20,radwod,data20,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
21,radwod,data21,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
22,radwod,data22,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
23,radwod,data23,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
24,radwod,data24,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
25,radwod,data25,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
26,radwod,data26,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
27,radwod,data27,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
28,radwod,data28,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
29,radwod,data29,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
30,radwod,data30,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
31,radwod,data31,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
32,radwod,data32,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
33,radwod,data33,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
34,radwod,data34,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
35,radwod,data35,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
36,radwod,data36,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
37,radwod,data37,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
38,radwod,data38,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
39,radwod,data39,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
40,radwod,data40,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
41,radwod,data41,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
42,radwod,data42,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
43,radwod,data43,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
44,radwod,data44,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
45,radwod,data45,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
46,radwod,data46,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
47,radwod,data47,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
48,radwod,data48,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
49,radwod,data49,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
50,radwod,data50,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
51,radwod,data51,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
52,radwod,data52,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
53,radwod,data53,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
54,radwod,data54,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
55,radwod,data55,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
56,radwod,data56,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
57,radwod,data57,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
58,radwod,exp1BoardNum,8,-,0,NONE,0,0,0,Exp1 Board Number,Experiment Board Active
59,radwod,pad20,8,-,0,NONE,0,0,0,NONE,TBD
60,radwod,RadWODTimestampSeconds,32,s,1,WOD,8,2,0,Uptime,Time Whole Orbit Data was collected
61,radwod,RadWODTimestampReset,16,-,1,WOD,8,1,0,Reset Count,Time Whole Orbit Data was collected
62,radwod,WodCRCError,8,-,0,NONE,0,0,0,NONE,TBD
63,radwod,pad0,8,-,0,NONE,0,0,0,NONE,TBD
