88,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,ragwod,data0,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
1,ragwod,data1,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
2,ragwod,data2,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
3,ragwod,data3,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
4,ragwod,data4,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
5,ragwod,data5,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
6,ragwod,data6,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
7,ragwod,data7,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
8,ragwod,data8,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
9,ragwod,data9,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
10,ragwod,data10,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
11,ragwod,data11,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
12,ragwod,data12,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
13,ragwod,data13,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
14,ragwod,data14,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
15,ragwod,data15,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
16,ragwod,data16,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
17,ragwod,data17,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
18,ragwod,data18,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
19,ragwod,data19,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
20,ragwod,data20,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
21,ragwod,data21,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
22,ragwod,data22,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
23,ragwod,data23,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
24,ragwod,data24,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
25,ragwod,data25,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
26,ragwod,data26,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
27,ragwod,data27,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
28,ragwod,data28,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
29,ragwod,data29,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
30,ragwod,data30,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
31,ragwod,data31,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
32,ragwod,data32,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
33,ragwod,data33,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
34,ragwod,data34,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
35,ragwod,data35,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
36,ragwod,data36,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
37,ragwod,data37,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
38,ragwod,data38,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
39,ragwod,data39,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
40,ragwod,data40,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
41,ragwod,data41,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
42,ragwod,data42,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
43,ragwod,data43,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
44,ragwod,data44,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
45,ragwod,data45,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
46,ragwod,data46,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
47,ragwod,data47,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
48,ragwod,data48,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
49,ragwod,data49,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
50,ragwod,data50,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
51,ragwod,data51,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
52,ragwod,data52,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
53,ragwod,data53,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
54,ragwod,data54,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
55,ragwod,data55,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
56,ragwod,data56,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
57,ragwod,data57,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
58,ragwod,data58,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
59,ragwod,data59,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
60,ragwod,data60,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
61,ragwod,data61,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
62,ragwod,data62,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
63,ragwod,data63,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
