648,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,wodlog,WODTimestampUptime,32,sec,1,WOD,13,2,0,LogFrameNumber,Time Whole Orbit Data was collected
1,wodlog,WODTimestampReset,16,-,1,WOD,13,1,0,LogType,Time Whole Orbit Data was collected
2,wodlog,0,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
3,wodlog,1,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
4,wodlog,2,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
5,wodlog,3,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
6,wodlog,4,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
7,wodlog,5,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
8,wodlog,6,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
9,wodlog,7,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
10,wodlog,8,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
11,wodlog,9,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
12,wodlog,10,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
13,wodlog,11,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
14,wodlog,12,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
15,wodlog,13,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
16,wodlog,14,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
17,wodlog,15,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
18,wodlog,16,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
19,wodlog,17,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
20,wodlog,18,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
21,wodlog,19,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
22,wodlog,20,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
23,wodlog,21,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
24,wodlog,22,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
25,wodlog,23,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
26,wodlog,24,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
27,wodlog,25,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
28,wodlog,26,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
29,wodlog,27,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
30,wodlog,28,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
31,wodlog,29,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
32,wodlog,30,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
33,wodlog,31,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
34,wodlog,32,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
35,wodlog,33,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
36,wodlog,34,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
37,wodlog,35,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
38,wodlog,36,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
39,wodlog,37,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
40,wodlog,38,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
41,wodlog,39,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
42,wodlog,40,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
43,wodlog,41,8,-,0,NONE,0,0,0,Data,Opaque data from radiation experiment
