88,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,wodrag,B0,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
1,wodrag,B1,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
2,wodrag,B2,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
3,wodrag,B3,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
4,wodrag,B4,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
5,wodrag,B5,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
6,wodrag,B6,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
7,wodrag,B7,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
8,wodrag,B8,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
9,wodrag,B9,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
10,wodrag,B10,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
11,wodrag,B11,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
12,wodrag,B12,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
13,wodrag,B13,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
14,wodrag,B14,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
15,wodrag,B15,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
16,wodrag,B16,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
17,wodrag,B17,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
18,wodrag,B18,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
19,wodrag,B19,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
20,wodrag,B20,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
21,wodrag,B21,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
22,wodrag,B22,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
23,wodrag,B23,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
24,wodrag,B24,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
25,wodrag,B25,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
26,wodrag,B26,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
27,wodrag,B27,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
28,wodrag,B28,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
29,wodrag,B29,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
30,wodrag,B30,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
31,wodrag,B31,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
32,wodrag,B32,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
33,wodrag,B33,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
34,wodrag,B34,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
35,wodrag,B35,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
36,wodrag,B36,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
37,wodrag,B37,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
38,wodrag,B38,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
39,wodrag,B39,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
40,wodrag,B40,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
41,wodrag,B41,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
42,wodrag,B42,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
43,wodrag,B43,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
44,wodrag,B44,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
45,wodrag,B45,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
46,wodrag,B46,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
47,wodrag,B47,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
48,wodrag,B48,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
49,wodrag,B49,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
50,wodrag,B50,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
51,wodrag,B51,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
52,wodrag,B52,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
53,wodrag,B53,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
54,wodrag,B54,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
55,wodrag,B55,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
56,wodrag,B56,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
57,wodrag,B57,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
58,wodrag,B58,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
59,wodrag,B59,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
60,wodrag,B60,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
61,wodrag,B61,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
62,wodrag,B62,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
63,wodrag,B63,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
64,wodrag,B64,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
65,wodrag,B65,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
66,wodrag,B66,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
67,wodrag,B67,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
68,wodrag,B68,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
69,wodrag,B69,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
70,wodrag,B70,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
71,wodrag,B71,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
72,wodrag,B72,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
73,wodrag,B73,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
74,wodrag,B74,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
75,wodrag,B75,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
76,wodrag,B76,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
77,wodrag,B77,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
78,wodrag,B78,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
79,wodrag,B79,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
80,wodrag,B80,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
81,wodrag,B81,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
82,wodrag,B82,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
83,wodrag,B83,8,-,0,NONE,0,0,0,ADAC Data,Opaque data from ADAC experiment
84,wodrag,WODTimestampUptime,32,s,1,WOD,13,2,0,WOD Uptime,Time Whole Orbit Data was collected
85,wodrag,WODTimestampReset,16,-,1,WOD,13,1,0,WOD Reset Count,Time Whole Orbit Data was collected
86,wodrag,WodCRCError,8,-,0,WOD,13,3,0,NONE,CRC Error for ADAC WOD
87,wodrag,pad241,8,-,0,NONE,0,0,0,NONE,TBD
