12,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,RAD,UW_ID0,8,NONE,0,NONE,0,0,0,ID0,None
1,RAD,UW_ID1,8,NONE,0,NONE,0,0,0,ID1,None
2,RAD,UW_ID2,8,NONE,0,NONE,0,0,0,ID2,None
3,RAD,UW_ID3,8,NONE,0,NONE,0,0,0,ID3,None
4,RAD,BYTE0,8,NONE,0,NONE,0,0,0,Byte 1,None
5,RAD,BYTE1,8,NONE,0,NONE,0,0,0,Byte 2,None
6,RAD,BYTE2,8,NONE,0,NONE,0,0,0,Byte 3,None
7,RAD,BYTE3,8,NONE,0,NONE,0,0,0,Byte 4,None
8,RAD,BYTE4,8,NONE,0,NONE,0,0,0,Byte 5,None
9,RAD,BYTE5,8,NONE,0,NONE,0,0,0,Byte 6,None
10,RAD,BYTE6,8,NONE,0,NONE,0,0,0,Byte 7,None
11,RAD,BYTE7,8,NONE,0,NONE,0,0,0,Byte 8,None
