46,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,maxDownlink,busV,12,V,58,NONE,7,4,3,Bus Voltage,Vbatt Bus voltage
1,maxDownlink,gTemp,12,C,48,NONE,5,11,3,Gyro Temp,Gyro temperature
2,maxDownlink,TxPAi,12,mA,38,NONE,2,2,3,PA Current,Transmit power amplifier current
3,maxDownlink,TxTemp,12,C,37,NONE,2,1,3,TX Temperature,Transmitter card temperature
4,maxDownlink,FwdPower,12,mW,53,NONE,2,3,3,Fwd Power,RF forward power level of the COM1 transmitter in milliWatts (mW)
5,maxDownlink,rssi,12,dBm,56,NONE,6,1,3,RSSI,Received Signal Strength Indication
6,maxDownlink,IHUcpuTemp,12,C,15,NONE,3,1,3,Temperature,Internal Temperature of IHU
7,maxDownlink,AntennaTemp,12,C,49,NONE,1,1,4,Board Temp,ISIS Antenna Temperature
8,maxDownlink,Xspin,16,dps,47,NONE,5,2,3,X Rotation,Angular Velocity around X Axis
9,maxDownlink,Yspin,16,dps,47,NONE,5,3,3,Y Rotation,Angular Veolcity around Y Axis
10,maxDownlink,Zspin,16,dps,47,NONE,5,4,3,Z Rotation,Angular Veolcity around Z Axis
11,maxDownlink,Xaccel,16,g,45,NONE,5,5,3,X Acceleration,Acceleration along X axis
12,maxDownlink,Yaccel,16,g,45,NONE,5,6,3,Y Acceleration,Acceleration along Y  axis
13,maxDownlink,Zaccel,16,g,45,NONE,5,7,3,Z Acceleration,Acceleration along Z axis
14,maxDownlink,Xmag,16,uT,46,NONE,5,8,3,X Magnetometer,Angular Veolcity around X Axis
15,maxDownlink,Ymag,16,uT,46,NONE,5,9,3,Y Magnetometer,Angular Veolcity around Y Axis
16,maxDownlink,Zmag,16,uT,46,NONE,5,10,3,Z Magnetometer,Angular Veolcity around Z Axis
17,maxDownlink,ReflectedPwr,12,mW,54,NONE,2,4,3,Ref Power,Reflected Power from the Transmit Antenna
18,maxDownlink,ICR3VProt,12,V,57,NONE,6,2,3,3V Prot,ICR 3V Proteted
19,maxDownlink,DistBoardStatus,12,V,55,NONE,5,1,3,UW Dist Board,Signal from the UW power distribution board
20,maxDownlink,ICR2dot5V,12,V,57,NONE,6,3,3,2.5V,ICR 2.5V
21,maxDownlink,MinusXpanel,12,-,52,NONE,7,1,3,Minus X,Minus X Solar Panel
22,maxDownlink,Xpanel,12,-,52,NONE,7,2,3,Plus X,Plus X Solar Panel
23,maxDownlink,Ypanel,12,-,52,NONE,7,3,3,Plus Y,Plus Y Solar Panel
24,maxDownlink,Vsensors,12,-,57,NONE,3,2,3,Sensor Power,Sensor voltage supplied by LTI
25,maxDownlink,LtVGACtl,12,V,42,NONE,2,5,3,VGA Control,Control Voltage to the Variable Gain Amplifier (VGA)
26,maxDownlink,pad1,4,-,0,NONE,0,0,0,pad,None
27,maxDownlink,Ant1Time,16,s,50,NONE,1,2,3,#1 Deploy Time,Antenna 1 Deploy Time
28,maxDownlink,Ant2Time,16,s,50,NONE,1,4,3,#2 Deploy Time,Antenna 2 Deploy Time
29,maxDownlink,Ant3Time,16,s,50,NONE,1,6,3,#3 Deploy Time,Antenna 3 Deploy Time
30,maxDownlink,Ant4Time,16,s,50,NONE,1,8,3,#4 Deploy Time,Antenna 4 Deploy Time
31,maxDownlink,Ant1Cnt,8,-,1,NONE,1,3,3,#1 Deploy Count,Antenna 1 Deploy Count
32,maxDownlink,Ant2Cnt,8,-,1,NONE,1,5,3,#2 Deploy Count,Antenna 2 Deploy Count
33,maxDownlink,Ant3Cnt,8,-,1,NONE,1,7,3,#3 Deploy Count,Antenna 3 Deploy Count
34,maxDownlink,Ant4Cnt,8,-,1,NONE,1,9,3,#4 Deploy Count,Antenna 4 Deploy Count
35,maxDownlink,pad2,48,-,34,NONE,0,0,0,pad,Unused
36,maxDownlink,IHUhardError,32,-,19,Computer Hardware,3,7,0,IHU Hard Error Data,Reason for last reset
37,maxDownlink,maxTimestampReset,16,s,1,NONE,0,0,0,MAX Timestamp Reset Count,Timestamp of last max change
38,maxDownlink,maxTimestampUptime,25,s,1,NONE,0,0,0,MAX Timestamp Uptime,Timestamp of last max change
39,maxDownlink,SafeModeIndication,1,-,21,Spacecraft Status,4,3,0,Safe Mode,In safe mode?
40,maxDownlink,AutoSafeModeActive,1,-,21,Spacecraft Status,4,4,0,Auto Safe Mode,In Autosafe mode?
41,maxDownlink,AutoSafeModeAllowed,1,-,21,Spacecraft Status,4,5,0,Auto Safe Allowed,Autosafe enabled?
42,maxDownlink,ScienceModeActive,1,-,21,Spacecraft Status,4,6,0,Science Mode,In Science Mode?
43,maxDownlink,MinMaxCrcError1,1,-,17,Spacecraft Status,4,8,0,Max CRC Error,CRC Error with the Max values stored in MRAM
44,maxDownlink,pad3,18,-,0,NONE,0,0,0,NONE,Make it even
45,maxDownlink,pad4,32,-,0,NONE,0,0,0,NONE,-
