53,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,realtimeDownlink,busV,12,V,58,Solar Panels,7,4,3,Bus Voltage,Vbatt Bus voltage
1,realtimeDownlink,gTemp,12,C,48,Experiments,5,11,3,Gyro Temp,Gyro temperature
2,realtimeDownlink,TxPAi,12,mA,38,Radio,2,2,3,PA Current,Transmit power amplifier current
3,realtimeDownlink,TxTemp,12,C,37,Radio,2,1,3,TX Temperature,Transmitter card temperature
4,realtimeDownlink,FwdPower,12,mW,53,Radio,2,3,3,Fwd Power,RF forward power level of the COM1 transmitter in milliWatts (mW)
5,realtimeDownlink,rssi,12,dBm,56,Command Receiver (ICR),6,1,3,RSSI,Received Signal Strength Indication
6,realtimeDownlink,IHUcpuTemp,12,C,15,Computer Hardware,3,1,3,Temperature,Internal Temperature of IHU
7,realtimeDownlink,AntennaTemp,12,C,49,ISIS Antenna Control,1,1,4,Board Temp,ISIS Antenna Temperature
8,realtimeDownlink,Xspin,16,dps,47,Experiments,5,2,3,X Rotation,Angular Velocity around X Axis
9,realtimeDownlink,Yspin,16,dps,47,Experiments,5,3,3,Y Rotation,Angular Veolcity around Y Axis
10,realtimeDownlink,Zspin,16,dps,47,Experiments,5,4,3,Z Rotation,Angular Veolcity around Z Axis
11,realtimeDownlink,Xaccel,16,g,45,Experiments,5,5,3,X Acceleration,Acceleration along X axis
12,realtimeDownlink,Yaccel,16,g,45,Experiments,5,6,3,Y Acceleration,Acceleration along Y  axis
13,realtimeDownlink,Zaccel,16,g,45,Experiments,5,7,3,Z Acceleration,Acceleration along Z axis
14,realtimeDownlink,Xmag,16,uT,46,Experiments,5,8,3,X Magnetometer,Angular Veolcity around X Axis
15,realtimeDownlink,Ymag,16,uT,46,Experiments,5,9,3,Y Magnetometer,Angular Veolcity around Y Axis
16,realtimeDownlink,Zmag,16,uT,46,Experiments,5,10,3,Z Magnetometer,Angular Veolcity around Z Axis
17,realtimeDownlink,ReflectedPwr,12,mW,54,Radio,2,4,3,Ref Power,Reflected Power from the Transmit Antenna
18,realtimeDownlink,ICR3VProt,12,V,57,Command Receiver (ICR),6,2,3,3V Prot,ICR 3V Proteted
19,realtimeDownlink,DistBoardStatus,12,V,55,Experiments,5,1,3,UW Dist Board,Signal from the UW power distribution board
20,realtimeDownlink,ICR2dot5V,12,V,57,Command Receiver (ICR),6,3,3,2.5V,ICR 2.5V
21,realtimeDownlink,MinusXpanel,12,-,52,Solar Panels,7,1,3,Minus X,Minus X Solar Panel
22,realtimeDownlink,Xpanel,12,-,52,Solar Panels,7,2,3,Plus X,Plus X Solar Panel
23,realtimeDownlink,Ypanel,12,-,52,Solar Panels,7,3,3,Plus Y,Plus Y Solar Panel
24,realtimeDownlink,Vsensors,12,-,57,Computer Hardware,3,2,3,Sensor Power,Sensor voltage supplied by LTI
25,realtimeDownlink,LtVGACtl,12,V,42,Radio,2,5,3,VGA Control,Control Voltage to the Variable Gain Amplifier (VGA)
26,realtimeDownlink,pad1,4,-,0,NONE,0,0,0,pad,None
27,realtimeDownlink,Ant1Time,16,s,50,ISIS Antenna Control,1,2,3,#1 Deploy Time,Antenna 1 Deploy Time
28,realtimeDownlink,Ant2Time,16,s,50,ISIS Antenna Control,1,4,3,#2 Deploy Time,Antenna 2 Deploy Time
29,realtimeDownlink,Ant3Time,16,s,50,ISIS Antenna Control,1,6,3,#3 Deploy Time,Antenna 3 Deploy Time
30,realtimeDownlink,Ant4Time,16,s,50,ISIS Antenna Control,1,8,3,#4 Deploy Time,Antenna 4 Deploy Time
31,realtimeDownlink,Ant1Cnt,8,-,1,ISIS Antenna Control,1,3,3,#1 Deploy Count,Antenna 1 Deploy Count
32,realtimeDownlink,Ant2Cnt,8,-,1,ISIS Antenna Control,1,5,3,#2 Deploy Count,Antenna 2 Deploy Count
33,realtimeDownlink,Ant3Cnt,8,-,1,ISIS Antenna Control,1,7,3,#3 Deploy Count,Antenna 3 Deploy Count
34,realtimeDownlink,Ant4Cnt,8,-,1,ISIS Antenna Control,1,9,3,#4 Deploy Count,Antenna 4 Deploy Count
35,realtimeDownlink,pad2,48,-,34,NONE,0,0,0,pad,Unused
36,realtimeDownlink,IHUdiagData,32,-,18,Spacecraft Status,4,1,0,Diagnostic Info,Diagnostic Data on IHU Performance
37,realtimeDownlink,transponder,1,-,44,Radio,2,6,0,Transponder Status,Transponder Is Enabled
38,realtimeDownlink,I2CfailureAntenna1,1,-,17,Computer Hardware,3,3,0,Antenna Bus 1,Antenna is not communicating over bus 1
39,realtimeDownlink,I2CfailureAntenna2,1,-,17,Computer Hardware,3,4,0,Antenna Bus 2,Antenna is not communicating over bus 2
40,realtimeDownlink,I2CfailureRF,1,-,17,Computer Hardware,3,5,0,RF I2C,RF I2C Bus failure indicator
41,realtimeDownlink,state4,1,-,0,NONE,0,0,0,spare,None
42,realtimeDownlink,state5,1,-,0,NONE,0,0,0,spare,None
43,realtimeDownlink,state6,1,-,0,NONE,0,0,0,spare,None
44,realtimeDownlink,state7,1,-,0,NONE,0,0,0,spare,None
45,realtimeDownlink,TLMresets,4,-,1,Computer Hardware,3,6,0,Ground Resets,Number of times command stations reset stored telemetry
46,realtimeDownlink,pad3,4,-,0,NONE,0,0,0,NONE,None
47,realtimeDownlink,antStatus,16,-,51,ISIS Antenna Control,1,10,0,Deploy Status,Deployment status of the antenna system
48,realtimeDownlink,wodSize,8,-,com1_wodSize|1,Spacecraft Status,4,2,0,WOD Stored,Number of WOD data payloads kept for each of Science and Housekeeping
49,realtimeDownlink,swCmds,32,-,35,Command Receiver (ICR),6,4,0,Diagnostic,ICR Diagnostic information
50,realtimeDownlink,hwCmdCnt,6,-,1,Command Receiver (ICR),6,5,0,HW Command Count,Number of hardware commands since last reset
51,realtimeDownlink,swCmdCnt,6,-,34,Command Receiver (ICR),6,6,0,SW Command Count,Number of software commands since last reset
52,realtimeDownlink,pad4,12,-,0,NONE,0,0,0,NONE,Filler
