name,priority,id,#NAME?,msp_cat,gnd_health,#NAME?,#NAME?,data_length,senders,description,added to dbc
sync_1,0,17,0x011,cat_brd,gnd_health,6357009,0x00610011,0,ppt,Sync1 Pulse (Every 2 seconds),yes
bdot_tumble_status,18,32,0x020,cat_adcs,gnd_health,308740128,0x12670020,1,-,Whether the BDot is tumbling,yes
dist_solar_deploy,2,20,0x014,,,33554452,0x02000014,0,-,Command to deploy the solar panels,descoped
rc_eps_batt_2,18,513,0x201,cat_health,gnd_health,308871681,0x12690201,6,eps_batt,EPS_BATT RollCall,yes
rc_eps_batt_3,18,514,0x202,cat_health,gnd_health,308871682,0x12690202,8,eps_batt,EPS_BATT RollCall,yes
sensorproc_photodiode,2,64,0x040,,,33554496,0x02000040,3,-,Photodiode Readings,descoped
rc_eps_batt_5,18,516,0x204,cat_health,gnd_health,308871684,0x12690204,8,eps_batt,EPS_BATT RollCall,yes
rc_eps_batt_6,18,517,0x205,cat_health,gnd_health,308871685,0x12690205,8,eps_batt,EPS_BATT RollCall,yes
rc_adcs_mtq_2,18,524,0x20C,cat_health,gnd_health,308871692,0x1269020C,8,adcs_mtq,MTQ RollCall,yes
sensorproc_gps_pos_x,2,80,0x050,,,33554512,0x02000050,8,-,WGS84 ECEF x coord position,descoped
sensorproc_gps_pos_y,2,81,0x051,,,33554513,0x02000051,8,-,WGS84 ECEF y coord position,descoped
sensorproc_gps_pos_z,2,82,0x052,,,33554514,0x02000052,8,-,WGS84 ECEF z coord position,descoped
sensorproc_gps_vel_x,2,83,0x053,,,33554515,0x02000053,8,-,WGS84 ECEF x coord velocity,descoped
sensorproc_gps_vel_y,2,84,0x054,,,33554516,0x02000054,8,-,WGS84 ECEF y coord velocity,descoped
sensorproc_gps_vel_z,2,85,0x055,,,33554517,0x02000055,8,-,WGS84 ECEF z coord velocity,descoped
sensorporc_gps_x_u,2,86,0x056,,,33554518,0x02000056,8,-,WGS84 ECEF x velocity and position uncertainty,descoped
sensorporc_gps_y_u,2,87,0x057,,,33554519,0x02000057,8,-,WGS84 ECEF y velocity and position uncertainty,descoped
sensorporc_gps_z_u,2,88,0x058,,,33554520,0x02000058,8,-,WGS84 ECEF z velocity and position uncertainty,descoped
sensorproc_gps_time,2,89,0x059,,,33554521,0x02000059,8,-,GPS time,descoped
sensorproc_gps_pwr,2,90,0x05A,,,33554522,0x0200005A,1,-,GPS Power State,na_descope
sensorproc_gps_status,2,91,0x05B,,,33554523,0x0200005B,8,-,GPS Status,na_descope
sensorproc_gps_enable,2,128,0x080,,,33554560,0x02000080,1,-,Enable/Disable Command for GPS,descoped
rc_adcs_mtq_3,18,525,0x20D,cat_health,gnd_health,308871693,0x1269020D,8,adcs_mtq,MTQ RollCall,yes
rc_adcs_mtq_4,18,526,0x20E,cat_health,gnd_health,308871694,0x1269020E,8,adcs_mtq,MTQ RollCall,yes
rc_adcs_mtq_5,18,527,0x20F,cat_health,gnd_health,308871695,0x1269020F,2,adcs_mtq,MTQ RollCall,yes
sensorproc_david,2,511,0x1FF,,,33554943,0x020001FF,8,-,GPD Debug Info (Not handled by C&DH),na_descope
rc_eps_dist_4,18,582,0x246,cat_health,gnd_health,308871750,0x12690246,7,eps_dist,Dist Rollcall,yes
rc_ppt_h1,18,605,0x25D,cat_health,gnd_health,308871773,0x1269025D,8,ppt,PPT Health Rollcall 1,
rc_adcs_mtq_h1,18,606,0x25E,cat_health,gnd_health,308871774,0x1269025E,8,adcs_mtq,MTQ Health Rollcall 1,
rc_eps_gen_h1,18,607,0x25F,cat_health,gnd_health,308871775,0x1269025F,8,eps_gen,GEN Health Rollcall 1,
rc_adcs_sp_h1,18,608,0x260,cat_health,gnd_health,308871776,0x12690260,8,adcs_sensorproc,SP Health Rollcall 1,
rc_adcs_mpc_h1,18,610,0x262,cat_health,gnd_health,308871778,0x12690262,8,adcs_mpc,MPC Health Rollcall 1,
rc_eps_dist_h1,18,611,0x263,cat_health,gnd_health,308871779,0x12690263,8,eps_dist,DIST Health Rollcall 1,
rc_adcs_bdot_h1,18,612,0x264,cat_health,gnd_health,308871780,0x12690264,8,adcs_bdot,BDOT Health Rollcall 1,
rc_eps_batt_h1,18,613,0x265,cat_health,gnd_health,308871781,0x12690265,8,eps_batt,BATT Health Rollcall 1,
rc_ppt_h2,18,614,0x266,cat_health,gnd_health,308871782,0x12690266,1,ppt,PPT Health Rollcall 2,
rc_adcs_mtq_h2,18,615,0x267,cat_health,gnd_health,308871783,0x12690267,1,adcs_mtq,MTQ Health Rollcall 2,
rc_eps_gen_h2,18,616,0x268,cat_health,gnd_health,308871784,0x12690268,1,eps_gen,GEN Health Rollcall 2,
rc_adcs_sp_h2,18,617,0x269,cat_health,gnd_health,308871785,0x12690269,1,adcs_sensorproc,SP Health Rollcall 2,
