12,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,CAN,UW_ID0,8,NONE,0,NONE,0,0,0,ID0,CAN ID with Length Encoded
1,CAN,UW_ID1,8,NONE,0,NONE,0,0,0,ID1,CAN ID with Length Encoded
2,CAN,UW_ID2,8,NONE,0,NONE,0,0,0,ID2,CAN ID with Length Encoded
3,CAN,UW_ID3,8,NONE,0,NONE,0,0,0,ID3,CAN ID with Length Encoded
4,CAN,pnl_1_temp_max,8,C,panel_temperature,Panel Temp: rc_eps_gen_9,1,1,0,Panel 1 Max,Solar Panel 1 Temp Max
5,CAN,pnl_1_temp_avg,8,C,panel_temperature,Panel Temp: rc_eps_gen_9,1,2,0,Panel 1 Avg,Solar Panel 1 Temp Avg
6,CAN,pnl_2_temp_min,8,C,panel_temperature,Panel Temp: rc_eps_gen_9,1,3,0,Panel 2 Min,Solar Panel 2 Temp Min
7,CAN,pnl_2_temp_max,8,C,panel_temperature,Panel Temp: rc_eps_gen_9,1,4,0,Panel 2 Max,Solar Panel 2 Temp Max
8,CAN,pnl_2_temp_avg,8,C,panel_temperature,Panel Temp: rc_eps_gen_9,1,5,0,Panel 2 Avg,Solar Panel 2 Temp Avg
9,CAN,pnl_3_temp_min,8,C,panel_temperature,Panel Temp: rc_eps_gen_9,1,6,0,Panel 3 Min,Solar Panel 3 Temp Min
10,CAN,pnl_3_temp_max,8,C,panel_temperature,Panel Temp: rc_eps_gen_9,1,7,0,Panel 3 Max,Solar Panel 3 Temp Max
11,CAN,pnl_3_temp_avg,8,C,panel_temperature,Panel Temp: rc_eps_gen_9,1,8,0,Panel 3 Avg,Solar Panel 3 Temp Avg
