202,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,RT,BYTE0,8,NONE,0,RAW,1,1,0,Byte 1,None
1,RT,BYTE1,8,NONE,0,RAW,1,2,0,Byte 2,None
2,RT,BYTE2,8,NONE,0,RAW,1,3,0,Byte 3,None
3,RT,BYTE3,8,NONE,0,NONE,0,0,0,Byte 4,None
4,RT,BYTE4,8,NONE,0,NONE,0,0,0,Byte 5,None
5,RT,BYTE5,8,NONE,0,NONE,0,0,0,Byte 6,None
6,RT,BYTE6,8,NONE,0,NONE,0,0,0,Byte 7,None
7,RT,BYTE7,8,NONE,0,NONE,0,0,0,Byte 8,None
8,RT,BYTE8,8,NONE,0,NONE,0,0,0,Byte 9,None
9,RT,BYTE9,8,NONE,0,NONE,0,0,0,Byte 10,None
10,RT,BYTE10,8,NONE,0,NONE,0,0,0,Byte 11,None
11,RT,BYTE11,8,NONE,0,NONE,0,0,0,Byte 12,None
12,RT,BYTE12,8,NONE,0,NONE,0,0,0,Byte 13,None
13,RT,BYTE13,8,NONE,0,NONE,0,0,0,Byte 14,None
14,RT,BYTE14,8,NONE,0,NONE,0,0,0,Byte 15,None
15,RT,BYTE15,8,NONE,0,NONE,0,0,0,Byte 16,None
16,RT,BYTE16,8,NONE,0,NONE,0,0,0,Byte 17,None
17,RT,BYTE17,8,NONE,0,NONE,0,0,0,Byte 18,None
18,RT,BYTE18,8,NONE,0,NONE,0,0,0,Byte 19,None
19,RT,BYTE19,8,NONE,0,NONE,0,0,0,Byte 20,None
20,RT,BYTE20,8,NONE,0,NONE,0,0,0,Byte 21,None
21,RT,BYTE21,8,NONE,0,NONE,0,0,0,Byte 22,None
22,RT,BYTE22,8,NONE,0,NONE,0,0,0,Byte 23,None
23,RT,BYTE23,8,NONE,0,NONE,0,0,0,Byte 24,None
24,RT,BYTE24,8,NONE,0,NONE,0,0,0,Byte 25,None
25,RT,BYTE25,8,NONE,0,NONE,0,0,0,Byte 26,None
26,RT,BYTE26,8,NONE,0,NONE,0,0,0,Byte 27,None
27,RT,BYTE27,8,NONE,0,NONE,0,0,0,Byte 28,None
28,RT,BYTE28,8,NONE,0,NONE,0,0,0,Byte 29,None
29,RT,BYTE29,8,NONE,0,NONE,0,0,0,Byte 30,None
30,RT,BYTE30,8,NONE,0,NONE,0,0,0,Byte 31,None
31,RT,BYTE31,8,NONE,0,NONE,0,0,0,Byte 32,None
32,RT,BYTE32,8,NONE,0,NONE,0,0,0,Byte 33,None
33,RT,BYTE33,8,NONE,0,NONE,0,0,0,Byte 34,None
34,RT,BYTE34,8,NONE,0,NONE,0,0,0,Byte 35,None
35,RT,BYTE35,8,NONE,0,NONE,0,0,0,Byte 36,None
36,RT,BYTE36,8,NONE,0,NONE,0,0,0,Byte 37,None
37,RT,BYTE37,8,NONE,0,NONE,0,0,0,Byte 38,None
38,RT,BYTE38,8,NONE,0,NONE,0,0,0,Byte 39,None
39,RT,BYTE39,8,NONE,0,NONE,0,0,0,Byte 40,None
40,RT,BYTE40,8,NONE,0,NONE,0,0,0,Byte 41,None
41,RT,BYTE41,8,NONE,0,NONE,0,0,0,Byte 42,None
42,RT,BYTE42,8,NONE,0,NONE,0,0,0,Byte 43,None
43,RT,BYTE43,8,NONE,0,NONE,0,0,0,Byte 44,None
44,RT,BYTE44,8,NONE,0,NONE,0,0,0,Byte 45,None
45,RT,BYTE45,8,NONE,0,NONE,0,0,0,Byte 46,None
46,RT,BYTE46,8,NONE,0,NONE,0,0,0,Byte 47,None
47,RT,BYTE47,8,NONE,0,NONE,0,0,0,Byte 48,None
48,RT,BYTE48,8,NONE,0,NONE,0,0,0,Byte 49,None
