65,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,maxDownlink,ReflectedPwr,8,mW,icr_8bit_volts|txv2_ref_pwr,NONE,2,4,3,Ref Power,Reflected Power from the Transmit Antenna
1,maxDownlink,ICR3VProt,8,V,icr_8bit_volts,NONE,3,3,3,3.3V Prot,ICR 3V Protected
2,maxDownlink,ICRTemp,8,C,8_bit_temp,NONE,3,4,3,ICR Temp,ICR Temperature
3,maxDownlink,gTemp,8,C,8_bit_temp,NONE,4,10,3,Gyro Temp,Gyro temperature
4,maxDownlink,Xspin,8,dps,8_bit_spin,NONE,4,1,3,X Rotation,Angular Velocity around X Axis
5,maxDownlink,Yspin,8,dps,8_bit_spin,NONE,4,2,3,Y Rotation,Angular Veolcity around Y Axis
6,maxDownlink,Zspin,8,dps,8_bit_spin,NONE,4,3,3,Z Rotation,Angular Veolcity around Z Axis
7,maxDownlink,Xaccel,8,g,8_bit_accel,NONE,4,4,3,X Acceleration,Acceleration along X axis
8,maxDownlink,Yaccel,8,g,8_bit_accel,NONE,4,5,3,Y Acceleration,Acceleration along Y  axis
9,maxDownlink,Zaccel,8,g,8_bit_accel,NONE,4,6,3,Z Acceleration,Acceleration along Z axis
10,maxDownlink,Xmag,8,uT,8_bit_mag,NONE,4,7,3,X Magnetometer,Angular Veolcity around X Axis
11,maxDownlink,Ymag,8,uT,8_bit_mag,NONE,4,8,3,Y Magnetometer,Angular Veolcity around Y Axis
12,maxDownlink,Zmag,8,uT,8_bit_mag,NONE,4,9,3,Z Magnetometer,Angular Veolcity around Z Axis
13,maxDownlink,busV,8,V,golf-t_bus_voltage,NONE,1,1,3,Bus Voltage,Vbatt Bus voltage
14,maxDownlink,TxPAi,8,mA,golf-t_tx_current,NONE,2,1,3,PA Current,Transmit power amplifier current
15,maxDownlink,TxTemp,8,C,8_bit_temp,NONE,2,2,3,TX Temperature,Transmitter card temperature
16,maxDownlink,FwdPower,8,mW,icr_8bit_volts|txv2_fwd_pwr|dBm_to_mW,NONE,2,3,3,Fwd Power,Receiver card temperature
17,maxDownlink,rssi,8,dBm,icr_8bit_volts|icrv2_rssi ,NONE,3,1,3,ICR RSSI,Received Signal Strength Indication
18,maxDownlink,LtVGACtl,8,V,icr_8bit_volts,NONE,2,5,3,VGA Control,Control Voltage to the Variable Gain Amplifier (VGA)
19,maxDownlink,IHUcpuTemp,8,C,8_bit_temp,NONE,1,2,3,IHU Temp,Internal Temperature of IHU
20,maxDownlink,moduTemp,8,C,8_bit_temp,NONE,2,7,3,Modulator Temp,Internal Temperature of  the telemetry modulator
21,maxDownlink,hostCANVolts0,8,V,10_volt_8_bit|INVALID_BYTE,NONE,7,1,3,CAN Volts 1,Host Volts 0
22,maxDownlink,hostCANVolts1,8,V,10_volt_8_bit|INVALID_BYTE,NONE,7,2,3,CAN Volts 2,Host Volts 1
23,maxDownlink,hostCANVolts2,8,V,10_volt_8_bit|INVALID_BYTE,NONE,7,3,3,CAN Volts 3,Host Volts 2
24,maxDownlink,hostCANVolts3,8,V,10_volt_8_bit|INVALID_BYTE,NONE,7,4,3,CAN Volts 4,Host Volts 3
25,maxDownlink,hostCANVolts4,8,V,10_volt_8_bit|INVALID_BYTE,NONE,7,5,3,CAN Volts 5,Host Volts 4
26,maxDownlink,hostCANVolts5,8,V,10_volt_8_bit|INVALID_BYTE,NONE,7,6,3,CAN Volts 6,Host Volts 5
27,maxDownlink,hostCANVolts6,8,V,10_volt_8_bit|INVALID_BYTE,NONE,7,7,3,CAN Volts 7,Host Volts 6
28,maxDownlink,hostCANVolts7,8,V,10_volt_8_bit|INVALID_BYTE,NONE,7,8,3,CAN Volts 8,Host Volts 7
29,maxDownlink,hostI2cTemp0,8,C,8_bit_temp|INVALID_BYTE,NONE,10,2,3,I2c Temp 1,IC2 Temps
30,maxDownlink,hostI2cTemp1,8,C,8_bit_temp|INVALID_BYTE,NONE,10,3,3,I2c Temp 2,IC2 Temps
31,maxDownlink,hostI2cTemp2,8,C,8_bit_temp|INVALID_BYTE,NONE,10,4,3,I2c Temp 3,IC2 Temps
32,maxDownlink,hostI2cTemp3,8,C,8_bit_temp|INVALID_BYTE,NONE,10,5,3,I2c Temp 4,IC2 Temps
