658,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,scilong,0,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
1,scilong,1,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
2,scilong,2,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
3,scilong,3,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
4,scilong,4,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
5,scilong,5,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
6,scilong,6,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
7,scilong,7,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
8,scilong,8,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
9,scilong,9,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
10,scilong,10,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
11,scilong,11,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
12,scilong,12,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
13,scilong,13,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
14,scilong,14,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
15,scilong,15,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
16,scilong,16,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
17,scilong,17,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
18,scilong,18,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
19,scilong,19,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
20,scilong,20,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
21,scilong,21,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
22,scilong,22,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
23,scilong,23,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
24,scilong,24,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
25,scilong,25,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
26,scilong,26,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
27,scilong,27,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
28,scilong,28,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
29,scilong,29,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
30,scilong,30,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
31,scilong,31,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
32,scilong,32,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
33,scilong,33,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
34,scilong,34,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
35,scilong,35,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
36,scilong,36,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
