89,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,wodsci,B0,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
1,wodsci,B1,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
2,wodsci,B2,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
3,wodsci,B3,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
4,wodsci,B4,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
5,wodsci,B5,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
6,wodsci,B6,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
7,wodsci,B7,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
8,wodsci,B8,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
9,wodsci,B9,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
10,wodsci,B10,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
11,wodsci,B11,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
12,wodsci,B12,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
13,wodsci,B13,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
14,wodsci,B14,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
15,wodsci,B15,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
16,wodsci,B16,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
17,wodsci,B17,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
18,wodsci,B18,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
19,wodsci,B19,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
20,wodsci,B20,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
21,wodsci,B21,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
22,wodsci,B22,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
23,wodsci,B23,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
24,wodsci,B24,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
25,wodsci,B25,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
26,wodsci,B26,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
27,wodsci,B27,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
28,wodsci,B28,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
29,wodsci,B29,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
30,wodsci,B30,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
31,wodsci,B31,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
32,wodsci,B32,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
33,wodsci,B33,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
34,wodsci,B34,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
35,wodsci,B35,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
36,wodsci,B36,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
37,wodsci,B37,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
38,wodsci,B38,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
39,wodsci,B39,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
40,wodsci,B40,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
41,wodsci,B41,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
42,wodsci,B42,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
43,wodsci,B43,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
44,wodsci,B44,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
45,wodsci,B45,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
46,wodsci,B46,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
47,wodsci,B47,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
48,wodsci,B48,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
49,wodsci,B49,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
50,wodsci,B50,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
51,wodsci,B51,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
52,wodsci,B52,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
53,wodsci,B53,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
54,wodsci,B54,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
55,wodsci,B55,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
56,wodsci,B56,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
57,wodsci,B57,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
58,wodsci,B58,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
59,wodsci,B59,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
60,wodsci,B60,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
61,wodsci,B61,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
62,wodsci,B62,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
63,wodsci,B63,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
64,wodsci,B64,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
65,wodsci,B65,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
66,wodsci,B66,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
67,wodsci,B67,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
68,wodsci,B68,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
69,wodsci,B69,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
70,wodsci,B70,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
71,wodsci,B71,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
72,wodsci,B72,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
73,wodsci,B73,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
74,wodsci,B74,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
75,wodsci,B75,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
76,wodsci,B76,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
77,wodsci,B77,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
78,wodsci,B78,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
79,wodsci,B79,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
80,wodsci,B80,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
81,wodsci,B81,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
82,wodsci,B82,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
83,wodsci,sparebits,7,-,0,NONE,0,0,0,Sparebits,Pad
84,wodsci,overflow,1,-,21,CAN Queue,1,1,0,Overflow,One or more CAN messages lost
85,wodsci,WODTimestampUptime,32,sec,1,NONE,0,0,0,Uptime,Time Whole Orbit Data was collected
86,wodsci,WODTimestampReset,16,-,TIMESTAMP WODTimestampReset WODTimestampUptime,WOD,2,1,0,Data Capture Time,Time Whole Orbit Data was collected
87,wodsci,WodCRCError,8,-,STATUS_BIT,WOD,2,2,0,Memory CRC Error,CRC Error for VU Radiataion Payload
88,wodsci,pad215,8,-,0,NONE,0,0,0,NONE,TBD
