128,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,wod,ReflectedPwr,8,mW,icr_8bit_volts|tx_ref_pwr|dBm_to_mW,AMSAT Radio,1,4,3,Ref Power,Reflected Power from the Transmit Antenna
1,wod,ICR3VProt,8,V,icr_8bit_volts,Command Receiver,3,3,3,3V Prot,ICR 3V Protected
2,wod,ICRTemp,8,C,8_bit_temp,Command Receiver,3,4,3,ICR Temp,ICR Temperature
3,wod,gTemp,8,C,8_bit_temp,AMSAT Gyro,4,10,3,Gyro Temp,Gyro temperature
4,wod,Xspin,8,dps,8_bit_spin,AMSAT Gyro,4,1,3,X Rotation,Angular Velocity around X Axis
5,wod,Yspin,8,dps,8_bit_spin,AMSAT Gyro,4,2,3,Y Rotation,Angular Veolcity around Y Axis
6,wod,Zspin,8,dps,8_bit_spin,AMSAT Gyro,4,3,3,Z Rotation,Angular Veolcity around Z Axis
7,wod,Xaccel,8,g,8_bit_accel,AMSAT Gyro,4,4,3,X Acceleration,Acceleration along X axis
8,wod,Yaccel,8,g,8_bit_accel,AMSAT Gyro,4,5,3,Y Acceleration,Acceleration along Y  axis
9,wod,Zaccel,8,g,8_bit_accel,AMSAT Gyro,4,6,3,Z Acceleration,Acceleration along Z axis
10,wod,Xmag,8,uT,8_bit_mag,AMSAT Gyro,4,7,3,X Magnetometer,Angular Veolcity around X Axis
11,wod,Ymag,8,uT,8_bit_mag,AMSAT Gyro,4,8,3,Y Magnetometer,Angular Veolcity around Y Axis
12,wod,Zmag,8,uT,8_bit_mag,AMSAT Gyro,4,9,3,Z Magnetometer,Angular Veolcity around Z Axis
13,wod,hostTemp1,8,-,8_bit_temp,Host Batteries,5,1,3,Battery Temp 1,Host Temp 1
14,wod,hostTemp2,8,-,8_bit_temp,Host Batteries,5,2,3,Battery Temp 2,Host Temp 2
15,wod,hostTemp3,8,-,8_bit_temp,Host Batteries,5,3,3,Battery Temp 3,Host Temp 3
16,wod,hostTemp4,8,-,8_bit_temp,Host Batteries,5,4,3,Battery Temp 4,Host Temp 4
17,wod,hostTemp5,8,-,8_bit_temp,Host Batteries,5,5,3,Battery Temp 5,Host Temp 5
18,wod,hostTlm1,8,-,INT,Host Solar Panels,6,6,3,Plus X Volts,Host Analog 1
19,wod,busV,8,V,golf-t_bus_voltage,Spacecraft Status,2,2,3,Bus Voltage,Vbatt Bus voltage
20,wod,TxPAi,8,mA,golf-t_tx_current,AMSAT Radio,1,1,3,PA Current,Transmit power amplifier current
21,wod,TxTemp,8,C,8_bit_temp,AMSAT Radio,1,2,3,TX Temperature,Transmitter card temperature
22,wod,FwdPower,8,mW,icr_8bit_volts|tx_pwr1|dBm_to_mW,AMSAT Radio,1,3,3,Fwd Power,Receiver card temperature
23,wod,rssi,8,dBm,icr_8bit_volts|icr_rssi ,Command Receiver,3,1,3,ICR RSSI,Received Signal Strength Indication
24,wod,MinusYVolts,8,V,52,NONE,0,0,0,Minus Y Volts,Left (-Y) deployable panel Voltage
25,wod,MinusXVolts,8,V,52,NONE,0,0,0,Minus X Volts,Anti-sun Fixed Panel Voltage
26,wod,XVolts,8,V,52,NONE,0,0,0,Plus X Volts,Sun-side Fixed Panel Voltage
27,wod,YVolts,8,V,52,NONE,0,0,0,Plus Y Volts,Right (+Y) Deployable Panel Voltage
28,wod,MinusYTemp,8,C,52,Host Solar Panels,6,1,3,Minus Y Temp,Left (-Y) deployable panel Voltage
29,wod,MinusXTemp,8,C,52,Host Solar Panels,6,2,3,Minus X Temp,Anti-sun Fixed Panel Voltage
30,wod,XTemp,8,C,52,Host Solar Panels,6,3,3,Plus X Temp,Sun-side Fixed Panel Voltage
31,wod,YTemp,8,C,52,Host Solar Panels,6,4,3,Plus Y Temp,Right (+Y) Deployable Panel Voltage
32,wod,LtVGACtl,8,V,icr_8bit_volts,AMSAT Radio,1,5,3,VGA Control,Control Voltage to the Variable Gain Amplifier (VGA)
33,wod,hostTlm2,8,-,INT,Host Solar Panels,6,5,3,Minus X Volts,Host Analog 2
34,wod,hostTlm3,8,-,INT,Host Solar Panels,6,7,4,Plus Y Volts,Host Analog 3
35,wod,IHUcpuTemp,8,C,8_bit_temp,Spacecraft Status,2,1,3,IHU Temp,Internal Temperature of IHU
36,wod,moduTemp,8,C,8_bit_temp,AMSAT Radio,1,7,3,Modulator Temp,Internal Temperature of  the telemetry modulator
37,wod,hostTlm4,8,-,INT,Host Solar Panels,6,8,3,Minus Y Volts,Host Analog 4
38,wod,hostVolts1,8,-,INT,Host Batteries,5,7,3,Battery Voltage 1,Host Bat Volts 1
39,wod,hostVolts2,8,-,INT,Host Batteries,5,8,3,Battery Voltage 2,Host Bat Volts 2
40,wod,hostVolts3,8,-,INT,Host Batteries,5,9,3,Battery Voltage 3,Host Bat Volts 3
41,wod,hostVolts4,8,-,INT,Host Batteries,5,10,3,Battery Voltage 4,Host Bat Volts 4
42,wod,hostVolts5,8,-,INT,Host Batteries,5,11,3,Battery Voltage 5,Host Bat Volts 5
43,wod,hostVolts6,8,-,INT,Host Batteries,5,12,3,Battery Voltage 6,Host Bat Volts 6
44,wod,hostVolts7,8,-,INT,Host Batteries,5,13,3,Battery Capacity,Host Voltage 7
45,wod,hostTemp6,8,-,0,Host Batteries,5,6,3,Battery Temp 6,Host Bat Temp 1
46,wod,hostTemp7,8,-,1,Other Host Telemetry,7,1,3,Host Temp 1,Host Bat Temp 2
47,wod,hostTemp8,8,-,2,Other Host Telemetry,7,2,3,Host Temp 2,Host Bat Temp 3
48,wod,hostTemp9,8,-,3,Other Host Telemetry,7,3,3,Host Temp 3,Host Bat Temp 4
49,wod,hostTemp10,8,-,4,Other Host Telemetry,7,4,3,Host Temp 4,Host Bat Temp 5
50,wod,hostTemp11,8,-,5,Other Host Telemetry,7,5,3,Host Temp 5,Host Bat Temp 6
51,wod,hostTemp12,8,-,6,Other Host Telemetry,7,6,3,Pi Temp,Host OBC Temp
52,wod,commonSpare1,8,-,0,NONE,0,0,0,commonSpare1,spare
53,wod,commonSpare2,8,-,0,NONE,0,0,0,commonSpare2,spare
54,wod,commonSpare3,16,-,0,NONE,0,0,0,commonSpare3,spare
55,wod,DeploySense,8,-,BIN8,Spacecraft Status,2,3,0,Deployable Sense,TBD
56,wod,wodSpare1,8,-,0,NONE,0,0,0,wodSpare1,spare
57,wod,wodSpare2,1,-,0,NONE,0,0,0,wodSpare2,spare
58,wod,AutoSafeAllowed,1,-,21,Spacecraft Status,2,4,0,Auto Safe Allowed,Autosafe Allowed
59,wod,AutoSafeModeActive,1,-,21,Spacecraft Status,2,5,0,Auto Safe,Autosafe Mode Active
60,wod,com2spareBit2,1,-,17,NONE,0,0,0,com2 Spare Bit 2,spare
61,wod,com2spareBit3,1,-,17,NONE,0,0,0,com2 Spare Bit 3,spare
62,wod,transponderEnabled,1,-,44,AMSAT Radio,1,6,0,Transponder Enabled,-
63,wod,I2CfailureICR,1,-,17,Command Receiver,3,5,0,I2cICR,ICR I2c ADC Not Working
64,wod,DeploySenseOK,1,-,STATUS_1_EQ_OK,Spacecraft Status,2,6,0,Deploy Sense Ok,Antenna sensor is ok
65,wod,TLMresets,8,-,1,Spacecraft Status,2,11,0,Min/Max Reset Count,Number of times command stations reset stored telemetry
66,wod,wodSize,8,-,36,Spacecraft Status,2,7,0,WOD Stored,Number of WOD data payloads kept for each of Science and Housekeeping.  In hundreds
67,wod,swCmds,32,-,35,Command Receiver,3,6,0,Diagnostic,ICR Diagnostic information
68,wod,hwCmdCnt,8,-,1,Command Receiver,3,7,0,HW Cmd Cnt ICR,Number of hardware commands since last reset
69,wod,swCmdCntICR,8,-,34,Command Receiver,3,8,0,SW Cmd Cnt ICR,Number of software commands since last reset
70,wod,I2CfailureHostTemp,8,Bits,BIN5,Other Host Telemetry,7,7,0,Host Tmp Fail,Bits Indicate Host Temp Sensor Failure
71,wod,hostBits1,1,-,STATUS_ENABLED,Other Host Telemetry,7,8,0,8V4 to 5V DC/DC,Host States Distro
72,wod,hostBits2,1,-,STATUS_ENABLED,Other Host Telemetry,7,9,0,8V4 to 5V Linear Reg,-
73,wod,hostBits3,1,-,STATUS_ENABLED,Other Host Telemetry,7,10,0,8V4 to 3V3 DC/DC,-
74,wod,hostBits4,1,-,STATUS_ENABLED,Other Host Telemetry,7,11,0,Dual 8V4 to 5V2 DC/DC,-
75,wod,hostBits5,1,-,STATUS_ENABLED,MESat Distro States,8,1,0,On Board Computer,-
76,wod,hostBits6,1,-,STATUS_BIT,MESat Distro States,8,2,0,        Over Current,-
77,wod,hostBits7,1,-,STATUS_ENABLED,MESat Distro States,8,3,0,CAN Controllers,-
78,wod,hostBits8,1,-,STATUS_BIT,MESat Distro States,8,4,0,        Over Current,-
79,wod,hostBits9,1,-,STATUS_ENABLED,MESat Distro States,8,5,0,Op Amps,Host States Distro
