654,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,scilong,B0,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
1,scilong,B1,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
2,scilong,B2,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
3,scilong,B3,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
4,scilong,B4,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
5,scilong,B5,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
6,scilong,B6,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
7,scilong,B7,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
8,scilong,B8,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
9,scilong,B9,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
10,scilong,B10,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
11,scilong,B11,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
12,scilong,B12,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
13,scilong,B13,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
14,scilong,B14,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
15,scilong,B15,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
16,scilong,B16,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
17,scilong,B17,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
18,scilong,B18,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
19,scilong,B19,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
20,scilong,B20,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
21,scilong,B21,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
22,scilong,B22,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
23,scilong,B23,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
24,scilong,B24,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
25,scilong,B25,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
26,scilong,B26,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
27,scilong,B27,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
28,scilong,B28,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
29,scilong,B29,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
30,scilong,B30,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
31,scilong,B31,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
32,scilong,B32,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
33,scilong,B33,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
34,scilong,B34,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
35,scilong,B35,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
