85,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,sci,B0,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
1,sci,B1,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
2,sci,B2,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
3,sci,B3,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
4,sci,B4,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
5,sci,B5,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
6,sci,B6,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
7,sci,B7,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
8,sci,B8,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
9,sci,B9,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
10,sci,B10,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
11,sci,B11,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
12,sci,B12,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
13,sci,B13,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
14,sci,B14,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
15,sci,B15,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
16,sci,B16,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
17,sci,B17,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
18,sci,B18,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
19,sci,B19,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
20,sci,B20,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
21,sci,B21,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
22,sci,B22,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
23,sci,B23,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
24,sci,B24,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
